generation,best_reward,mean_reward,min_reward,std_reward,n_elites
1,-188.02014000000003,-1014.3181295860003,-1273.0,345.33982082315043,5
2,454.0,-843.8487879599999,-1273.0,433.8964916825149,5
3,392.134,-782.7434545799999,-1269.0,453.0235093883846,5
4,998.0,-693.0205731628,-1249.0,471.0964433358009,5
5,99.68799999999999,-689.1046834260001,-1272.0,412.0799860710278,5
6,90.0,-783.56332484,-1249.0,392.2069449023132,5
7,983.134,-567.39796384,-1267.0,557.935491763874,5
8,533.0,-659.0593518999999,-1273.0,488.84683382841524,5
9,161.21249999999998,-455.8870759999999,-1256.0,367.98908513902876,5
10,665.0,-541.1270938,-1249.0,439.3199397833601,5
11,148.0,-551.6245348799999,-1245.866,396.6053327031721,5
12,850.1415999999999,-457.57485760000003,-1269.0,487.7199030026766,5
13,956.134,-417.31093145919994,-1245.866,473.5292600386826,5
14,377.6,-433.3132477000001,-1249.0,399.38726257714694,5
15,327.134,-462.688031,-1157.62469,386.19487335001406,5
16,692.0360000000001,-265.9014246,-1248.134,375.75242803065714,5
17,837.0,-453.66942300000005,-1144.99375,443.96388223359435,5
18,1011.134,-354.30239629999994,-1245.866,508.9764318276893,5
19,520.134,-346.08412444000004,-1233.1491780000001,361.83761830755964,5
20,567.0,-318.96613490000004,-1185.51043,423.2022025188263,5
21,357.0,-318.11888300000004,-1245.866,357.1428301124341,5
22,380.0,-406.52458856,-1080.0,346.239043126971,5
23,698.0,-332.06096732,-1185.51043,406.5187982338957,5
24,1080.134,-160.01157,-1002.0,416.5984355152707,5
25,1668.3708000000001,-154.3019472,-981.0,380.87766208813736,5
26,1222.0,-192.05344720000002,-1094.0,358.4131415906937,5
27,1168.5994,-192.6751556,-904.96796,336.6453387948641,5
28,902.0,-203.46748019999998,-935.0,354.7923469754503,5
29,1108.0,-194.09823699999998,-1185.51043,434.2840956168959,5
30,886.5999999999999,-246.40864009999999,-1186.551575,343.96429507211104,5
31,1168.5969,-173.05512939999997,-1054.0,403.1480382088665,5
32,1131.2462,-207.73758194,-1138.655785,471.32406973317296,5
33,721.3544999999999,-228.097858,-1082.0,385.0646284216179,5
34,697.9049,-146.7994332,-789.0,262.9244376406525,5
35,1205.134,-129.254341,-1057.0,361.14923758257964,5
36,632.134,-191.7468546,-1030.0,262.59689836519914,5
37,1056.1606,-257.31720160000003,-1137.3612,460.4680624630168,5
